file,lon,lat,variable,time_start,time_end,pixel_count,valid,invalid,min,max,mean,median,std,pixel_value
A20210012021031.L3m_MO_CHL.x_chlor_a.nc,32.8,-26,chlor_a,2021-01-01T00:10:01Z,2021-02-01T02:59:59Z,25,23,2,0.759905,4.286929,2.040380,2.330184,1.716142,1.621531
A20210322021059.L3m_MO_CHL.x_chlor_a.nc,32.8,-26,chlor_a,2021-02-01T00:05:01Z,2021-03-01T02:24:59Z,25,23,2,0.712590,6.438710,3.343255,4.016668,1.934017,3.706131
A20210602021090.L3m_MO_CHL.x_chlor_a.nc,32.8,-26,chlor_a,2021-03-01T00:25:01Z,2021-04-01T02:49:59Z,25,23,2,2.925616,6.888900,5.361518,5.808807,1.279426,5.195235
A20210912021120.L3m_MO_CHL.x_chlor_a.nc,32.8,-26,chlor_a,2021-04-01T00:00:01Z,2021-05-01T02:59:59Z,25,23,2,1.646092,5.720479,3.659830,3.948219,1.406268,3.266183
A20211212021151.L3m_MO_CHL.x_chlor_a.nc,32.8,-26,chlor_a,2021-05-01T00:00:00Z,2021-06-01T02:49:59Z,25,23,2,1.115669,4.884576,2.780596,3.061207,1.546364,2.608324
A20211522021181.L3m_MO_CHL.x_chlor_a.nc,32.8,-26,chlor_a,2021-06-01T00:45:01Z,2021-07-01T02:59:59Z,25,23,2,1.087975,4.465222,2.575254,2.939695,1.528597,2.295038
A20211822021212.L3m_MO_CHL.x_chlor_a.nc,32.8,-26,chlor_a,2021-07-01T00:55:01Z,2021-08-01T02:20:00Z,25,24,1,0.992985,5.213957,2.493178,2.857486,1.654438,2.266936
A20212132021243.L3m_MO_CHL.x_chlor_a.nc,32.8,-26,chlor_a,2021-08-01T00:20:00Z,2021-09-01T02:45:00Z,25,23,2,0.778643,5.062740,2.283414,2.705881,1.768107,2.112602
A20212442021273.L3m_MO_CHL.x_chlor_a.nc,32.8,-26,chlor_a,2021-09-01T00:45:00Z,2021-10-01T02:55:00Z,25,23,2,1.326753,6.317255,3.226320,3.485869,1.573140,3.100251
A20212742021304.L3m_MO_CHL.x_chlor_a.nc,32.8,-26,chlor_a,2021-10-01T00:00:00Z,2021-11-01T02:19:59Z,25,23,2,0.748875,5.660854,3.214375,3.837238,1.669185,3.908724
A20213052021334.L3m_MO_CHL.x_chlor_a.nc,32.8,-26,chlor_a,2021-11-01T00:10:01Z,2021-12-01T02:29:59Z,25,23,2,0.674618,4.509702,2.207762,2.576401,1.753912,2.216202
A20213352021365.L3m_MO_CHL.x_chlor_a.nc,32.8,-26,chlor_a,2021-12-01T00:25:00Z,2022-01-01T02:04:59Z,25,23,2,0.535777,4.349225,1.516523,2.055468,1.940207,1.032616
AQUA_MODIS.20210101_20210131.L3m.MO.SST.x_sst.nc,32.8,-26,sst,2021-01-01T00:10:01Z,2021-02-01T02:59:59Z,25,25,0,27.244999,28.494999,27.894800,27.920000,0.368802,27.400000
AQUA_MODIS.20210201_20210228.L3m.MO.SST.x_sst.nc,32.8,-26,sst,2021-02-01T00:05:01Z,2021-03-01T02:24:59Z,25,25,0,27.539999,29.394999,28.361599,28.359999,0.445203,27.820000
AQUA_MODIS.20210301_20210331.L3m.MO.SST.x_sst.nc,32.8,-26,sst,2021-03-01T00:25:01Z,2021-04-01T02:49:59Z,25,25,0,27.519999,28.455000,27.999798,27.969999,0.227203,27.894999
AQUA_MODIS.20210401_20210430.L3m.MO.SST.x_sst.nc,32.8,-26,sst,2021-04-01T00:00:01Z,2021-05-01T02:59:59Z,25,25,0,25.625000,25.994999,25.841999,25.859999,0.097632,25.885000
AQUA_MODIS.20210501_20210531.L3m.MO.SST.x_sst.nc,32.8,-26,sst,2021-05-01T00:00:00Z,2021-06-01T02:49:59Z,25,25,0,23.074999,24.025000,23.432600,23.375000,0.285030,23.414999
AQUA_MODIS.20210601_20210630.L3m.MO.SST.x_sst.nc,32.8,-26,sst,2021-06-01T00:45:01Z,2021-07-01T02:59:59Z,25,25,0,20.865000,22.469999,21.366001,21.154999,0.503768,21.334999
AQUA_MODIS.20210701_20210731.L3m.MO.SST.x_sst.nc,32.8,-26,sst,2021-07-01T00:55:01Z,2021-08-01T02:20:00Z,25,25,0,20.109999,21.559999,20.555401,20.369999,0.434412,20.539999
AQUA_MODIS.20210801_20210831.L3m.MO.SST.x_sst.nc,32.8,-26,sst,2021-08-01T00:20:00Z,2021-09-01T02:45:00Z,25,25,0,19.844999,20.990000,20.264999,20.119999,0.350876,20.295000
AQUA_MODIS.20210901_20210930.L3m.MO.SST.x_sst.nc,32.8,-26,sst,2021-09-01T00:45:00Z,2021-10-01T02:55:00Z,25,25,0,21.145000,21.994999,21.581602,21.529999,0.198921,21.504999
AQUA_MODIS.20211001_20211031.L3m.MO.SST.x_sst.nc,32.8,-26,sst,2021-10-01T00:00:00Z,2021-11-01T02:19:59Z,25,25,0,22.619999,23.240000,22.844999,22.764999,0.166277,22.644999
AQUA_MODIS.20211101_20211130.L3m.MO.SST.x_sst.nc,32.8,-26,sst,2021-11-01T00:10:01Z,2021-12-01T02:29:59Z,25,25,0,22.889999,23.559999,23.281199,23.295000,0.176925,23.184999
AQUA_MODIS.20211201_20211231.L3m.MO.SST.x_sst.nc,32.8,-26,sst,2021-12-01T00:25:00Z,2022-01-01T02:04:59Z,25,25,0,26.055000,28.025000,27.077000,27.025000,0.623742,26.564999
AQUA_MODIS.20210101_20210131.L3m.MO.SST.x_sst.nc,32.8,-26,sst,2021-01-01T00:10:01Z,2021-02-01T02:59:59Z,25,25,0,27.244999,28.494999,27.894800,27.920000,0.368802,27.400000
AQUA_MODIS.20210201_20210228.L3m.MO.SST.x_sst.nc,32.8,-26,sst,2021-02-01T00:05:01Z,2021-03-01T02:24:59Z,25,25,0,27.539999,29.394999,28.361599,28.359999,0.445203,27.820000
AQUA_MODIS.20210301_20210331.L3m.MO.SST.x_sst.nc,32.8,-26,sst,2021-03-01T00:25:01Z,2021-04-01T02:49:59Z,25,25,0,27.519999,28.455000,27.999798,27.969999,0.227203,27.894999
AQUA_MODIS.20210401_20210430.L3m.MO.SST.x_sst.nc,32.8,-26,sst,2021-04-01T00:00:01Z,2021-05-01T02:59:59Z,25,25,0,25.625000,25.994999,25.841999,25.859999,0.097632,25.885000
