file,lon,lat,variable,time_start,time_end,pixel_count,valid,invalid,min,max,mean,median,std,pixel_value
A2021122115500.L2_LAC_OC.nc,32.8,-26,Rrs_412,2021-05-02T11:55:01Z,2021-05-02T11:59:59Z,25,25,0,0.004576,0.007060,0.005856,0.005968,0.000802,0.006242
A2021122115500.L2_LAC_OC.nc,33.3,-26,Rrs_412,2021-05-02T11:55:01Z,2021-05-02T11:59:59Z,25,0,25,,,,,,
A2021122115500.L2_LAC_OC.nc,32.8,-26,Rrs_443,2021-05-02T11:55:01Z,2021-05-02T11:59:59Z,25,25,0,0.005012,0.008186,0.006673,0.006880,0.001037,0.007390
A2021122115500.L2_LAC_OC.nc,33.3,-26,Rrs_443,2021-05-02T11:55:01Z,2021-05-02T11:59:59Z,25,0,25,,,,,,
A2021122115500.L2_LAC_OC.nc,32.8,-26,Rrs_469,2021-05-02T11:55:01Z,2021-05-02T11:59:59Z,25,25,0,0.005854,0.009350,0.007768,0.007940,0.001161,0.008420
A2021122115500.L2_LAC_OC.nc,33.3,-26,Rrs_469,2021-05-02T11:55:01Z,2021-05-02T11:59:59Z,25,0,25,,,,,,
A2021122115500.L2_LAC_OC.nc,32.8,-26,Rrs_488,2021-05-02T11:55:01Z,2021-05-02T11:59:59Z,25,25,0,0.006846,0.010610,0.008920,0.009180,0.001221,0.009682
A2021122115500.L2_LAC_OC.nc,33.3,-26,Rrs_488,2021-05-02T11:55:01Z,2021-05-02T11:59:59Z,25,0,25,,,,,,
A2021122115500.L2_LAC_OC.nc,32.8,-26,Rrs_531,2021-05-02T11:55:01Z,2021-05-02T11:59:59Z,25,25,0,0.008292,0.013580,0.011373,0.011654,0.001703,0.012594
A2021122115500.L2_LAC_OC.nc,33.3,-26,Rrs_531,2021-05-02T11:55:01Z,2021-05-02T11:59:59Z,25,0,25,,,,,,
A2021122115500.L2_LAC_OC.nc,32.8,-26,Rrs_547,2021-05-02T11:55:01Z,2021-05-02T11:59:59Z,25,25,0,0.008486,0.014390,0.011991,0.012360,0.001913,0.013442
A2021122115500.L2_LAC_OC.nc,33.3,-26,Rrs_547,2021-05-02T11:55:01Z,2021-05-02T11:59:59Z,25,0,25,,,,,,
A2021122115500.L2_LAC_OC.nc,32.8,-26,Rrs_645,2021-05-02T11:55:01Z,2021-05-02T11:59:59Z,25,25,0,0.002704,0.009112,0.005942,0.005978,0.001944,0.008112
A2021122115500.L2_LAC_OC.nc,33.3,-26,Rrs_645,2021-05-02T11:55:01Z,2021-05-02T11:59:59Z,25,0,25,,,,,,
A2021122115500.L2_LAC_OC.nc,32.8,-26,Rrs_667,2021-05-02T11:55:01Z,2021-05-02T11:59:59Z,25,25,0,0.002176,0.007838,0.005009,0.005028,0.001712,0.006878
A2021122115500.L2_LAC_OC.nc,33.3,-26,Rrs_667,2021-05-02T11:55:01Z,2021-05-02T11:59:59Z,25,0,25,,,,,,
A2021122115500.L2_LAC_OC.nc,32.8,-26,Rrs_678,2021-05-02T11:55:01Z,2021-05-02T11:59:59Z,25,25,0,0.002206,0.007614,0.004886,0.004854,0.001627,0.006708
A2021122115500.L2_LAC_OC.nc,33.3,-26,Rrs_678,2021-05-02T11:55:01Z,2021-05-02T11:59:59Z,25,0,25,,,,,,
A2021123105500.L2_LAC_OC.nc,32.8,-26,Rrs_412,2021-05-03T10:55:00Z,2021-05-03T10:59:59Z,15,13,2,0.010122,0.011004,0.010671,0.010690,0.000241,0.010928
A2021123105500.L2_LAC_OC.nc,33.3,-26,Rrs_412,2021-05-03T10:55:00Z,2021-05-03T10:59:59Z,15,15,0,0.009942,0.011424,0.010691,0.010734,0.000462,0.010734
A2021123105500.L2_LAC_OC.nc,32.8,-26,Rrs_443,2021-05-03T10:55:00Z,2021-05-03T10:59:59Z,15,13,2,0.005450,0.006300,0.005992,0.006020,0.000220,0.005968
A2021123105500.L2_LAC_OC.nc,33.3,-26,Rrs_443,2021-05-03T10:55:00Z,2021-05-03T10:59:59Z,15,15,0,0.005728,0.006768,0.006196,0.006162,0.000348,0.006180
A2021123105500.L2_LAC_OC.nc,32.8,-26,Rrs_469,2021-05-03T10:55:00Z,2021-05-03T10:59:59Z,15,13,2,0.004910,0.005534,0.005314,0.005366,0.000177,0.005294
A2021123105500.L2_LAC_OC.nc,33.3,-26,Rrs_469,2021-05-03T10:55:00Z,2021-05-03T10:59:59Z,15,15,0,0.005084,0.005874,0.005483,0.005454,0.000244,0.005652
A2021123105500.L2_LAC_OC.nc,32.8,-26,Rrs_488,2021-05-03T10:55:00Z,2021-05-03T10:59:59Z,15,13,2,0.004856,0.005412,0.005240,0.005280,0.000141,0.005250
A2021123105500.L2_LAC_OC.nc,33.3,-26,Rrs_488,2021-05-03T10:55:00Z,2021-05-03T10:59:59Z,15,15,0,0.005110,0.005612,0.005359,0.005346,0.000159,0.005412
A2021123105500.L2_LAC_OC.nc,32.8,-26,Rrs_531,2021-05-03T10:55:00Z,2021-05-03T10:59:59Z,15,13,2,0.002100,0.002706,0.002445,0.002456,0.000141,0.002454
A2021123105500.L2_LAC_OC.nc,33.3,-26,Rrs_531,2021-05-03T10:55:00Z,2021-05-03T10:59:59Z,15,15,0,0.002418,0.002624,0.002528,0.002542,0.000052,0.002552
A2021123105500.L2_LAC_OC.nc,32.8,-26,Rrs_547,2021-05-03T10:55:00Z,2021-05-03T10:59:59Z,15,13,2,0.001594,0.002116,0.001913,0.001944,0.000133,0.001976
A2021123105500.L2_LAC_OC.nc,33.3,-26,Rrs_547,2021-05-03T10:55:00Z,2021-05-03T10:59:59Z,15,15,0,0.001904,0.002062,0.002002,0.002006,0.000043,0.002012
A2021123105500.L2_LAC_OC.nc,32.8,-26,Rrs_645,2021-05-03T10:55:00Z,2021-05-03T10:59:59Z,15,13,2,0.000142,0.000328,0.000243,0.000240,0.000054,0.000142
A2021123105500.L2_LAC_OC.nc,33.3,-26,Rrs_645,2021-05-03T10:55:00Z,2021-05-03T10:59:59Z,15,15,0,0.000286,0.000402,0.000351,0.000348,0.000036,0.000340
A2021123105500.L2_LAC_OC.nc,32.8,-26,Rrs_667,2021-05-03T10:55:00Z,2021-05-03T10:59:59Z,15,13,2,0.000176,0.000316,0.000255,0.000250,0.000039,0.000176
A2021123105500.L2_LAC_OC.nc,33.3,-26,Rrs_667,2021-05-03T10:55:00Z,2021-05-03T10:59:59Z,15,15,0,0.000220,0.000280,0.000258,0.000258,0.000017,0.000278
A2021123105500.L2_LAC_OC.nc,32.8,-26,Rrs_678,2021-05-03T10:55:00Z,2021-05-03T10:59:59Z,15,13,2,0.000164,0.000288,0.000250,0.000262,0.000033,0.000164
